date,open,high,low,close
2024-01-01,2064.78,2066.32,2062.3,2063.59
2024-01-02,2063.57,2078.81,2055.77,2059.38
2024-01-03,2059.39,2065.89,2030.48,2042.81
2024-01-04,2042.82,2050.82,2036.16,2044.2
2024-01-05,2044.19,2063.9,2024.36,2045.38
2024-01-07,2044.55,2045.85,2042.76,2044.11
2024-01-08,2044.12,2046.53,2016.72,2030.52
2024-01-09,2030.56,2041.85,2025.88,2030.7
2024-01-10,2030.61,2040.18,2020.35,2026.65
2024-01-11,2026.73,2049.81,2013.19,2035.18
2024-01-12,2035.08,2062.16,2029.99,2048.88
2024-01-14,2047.08,2048.69,2046.28,2047.56
2024-01-15,2047.52,2058.55,2045.71,2053.91
2024-01-16,2053.84,2054.44,2024.14,2028.07
2024-01-17,2028.09,2032.88,2001.73,2009.36
2024-01-18,2009.37,2024.35,2005.71,2023.66
2024-01-19,2023.61,2039.31,2020.19,2029.45
2024-01-21,2028.81,2029.25,2026.58,2027.38
2024-01-22,2027.41,2031.88,2016.55,2020.64
2024-01-23,2020.65,2037.84,2019.43,2029.18
2024-01-24,2029.17,2036.62,2011.07,2016.15
2024-01-25,2016.18,2025.21,2008.19,2020.6
2024-01-26,2020.59,2026.8,2015.82,2018.36
2024-01-28,2021.72,2028.37,2021.12,2021.71
2024-01-29,2021.7,2037.49,2019.09,2031.0
2024-01-30,2030.9,2048.55,2028.88,2036.27
2024-01-31,2036.3,2055.87,2030.69,2039.86
2024-02-01,2039.88,2065.38,2029.96,2054.7
2024-02-02,2054.72,2057.54,2027.68,2039.5
2024-02-04,2039.45,2042.08,2038.95,2039.16
2024-02-05,2039.17,2039.8,2014.79,2024.86
2024-02-06,2024.88,2038.78,2022.76,2035.18
2024-02-07,2035.19,2044.56,2030.48,2036.3
2024-02-08,2036.35,2038.63,2020.08,2034.2
2024-02-09,2034.21,2037.11,2020.15,2024.37
2024-02-11,2024.92,2026.72,2024.17,2025.25
2024-02-12,2025.26,2027.49,2011.74,2018.7
2024-02-13,2018.72,2032.35,1989.99,1991.38
2024-02-14,1991.39,1996.04,1984.07,1993.55
2024-02-15,1993.69,2008.2,1990.04,2003.32
2024-02-16,2003.44,2015.08,1994.96,2013.1
2024-02-18,2013.51,2016.24,2009.06,2013.63
2024-02-19,2013.64,2022.94,2013.08,2016.08
2024-02-20,2015.98,2030.83,2014.79,2023.99
2024-02-21,2024.02,2032.2,2019.85,2025.59
2024-02-22,2025.61,2034.72,2019.55,2024.58
2024-02-23,2024.62,2041.24,2015.88,2035.26
2024-02-25,2032.85,2034.94,2032.73,2033.86
2024-02-26,2033.88,2036.98,2024.92,2031.26
2024-02-27,2031.15,2039.36,2028.57,2029.91
